City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,okhotsk,59.3833,143.3,-2.76,97,100,2.61,RU,1680338899
171,cayenne,4.9333,-52.3333,22.02,100,20,0.51,GF,1680338899
172,saint-augustin,51.226,-58.6502,-1.56,94,100,4.86,CA,1680338900
173,georgetown,5.4112,100.3354,33.96,66,20,6.17,MY,1680338766
174,muyezerskiy,63.9333,31.65,-2.19,84,95,3.38,RU,1680338900
175,mpanda,-6.3655,31.0409,22.46,79,99,2.41,TZ,1680338901
176,dalvik,65.9702,-18.5286,2.96,95,100,3.87,IS,1680338901
177,sitka,57.0531,-135.33,3.94,81,100,4.63,US,1680338901
178,floriano,-6.7669,-43.0225,21.34,61,100,0.55,BR,1680338902
179,cabedelo,-6.9811,-34.8339,23.37,84,51,4.17,BR,1680338902
180,george town,5.4112,100.3354,33.96,66,20,6.17,MY,1680338422
181,hokitika,-42.7167,170.9667,15.99,90,99,2.75,NZ,1680338903
182,kapaa,22.0752,-159.319,22.99,94,100,2.57,US,1680338903
183,champerico,14.3,-91.9167,26.81,75,0,4.09,GT,1680338903
184,nantucket,41.2835,-70.0995,9.52,97,100,8.75,US,1680338904
185,port elizabeth,-33.918,25.5701,22.16,49,0,3.6,ZA,1680338904
186,lorengau,-2.0226,147.2712,26.08,81,91,0.74,PG,1680338904
187,konya,38.1667,32.5,7.71,38,9,2.62,TR,1680338905
188,erdemli,36.605,34.3084,14.26,46,3,2.82,TR,1680338905
189,killybegs,54.6333,-8.45,8.84,90,100,10.62,IE,1680338905
190,burnie,-41.0667,145.9167,14.69,63,69,4.69,AU,1680338907
191,northam,51.0333,-4.2167,9.58,94,100,7.92,GB,1680338518
192,srednekolymsk,67.45,153.6833,-23.05,99,95,1.48,RU,1680338907
193,mar del plata,-38.0023,-57.5575,13.86,79,100,1.54,AR,1680338908
194,westport,41.1415,-73.3579,12.47,85,100,2.06,US,1680338614
195,almaznyy,48.0448,40.045,5.7,78,45,5.38,RU,1680338909
196,torrevieja,37.9787,-0.6822,21.73,43,99,0.45,ES,1680338909
197,sur,22.5667,59.5289,30.45,34,91,2.4,OM,1680338909
198,cockburn town,21.4612,-71.1419,24.81,73,1,8.95,TC,1680338909
199,ixtapa,20.7,-105.2,21.24,68,100,1.17,MX,1680338910
200,albacete,38.8333,-2.0,12.45,58,0,5.66,ES,1680338910
201,maragogi,-9.0122,-35.2225,23.36,86,32,2.19,BR,1680338910
202,bull savanna,17.8868,-77.5902,21.23,84,23,2.79,JM,1680338911
203,yeppoon,-23.1333,150.7333,21.88,89,100,5.55,AU,1680338911
204,ulladulla,-35.35,150.4667,15.43,82,96,3.81,AU,1680338911
205,grindavik,63.8424,-22.4338,4.26,87,75,5.66,IS,1680338912
206,acari,-15.4311,-74.6158,23.77,85,100,0.44,PE,1680338912
207,ilhabela,-23.7781,-45.3581,23.08,88,13,2.14,BR,1680338912
208,sile,41.1754,29.6133,18.37,55,70,3.73,TR,1680338913
209,santiago de cao,-7.9589,-79.2392,26.07,83,100,1.54,PE,1680338913
210,brigantine,39.4101,-74.3646,14.55,92,100,6.26,US,1680338914
211,dikson,73.5069,80.5464,-0.75,87,100,13.18,RU,1680338914
212,bondo,3.8146,23.6866,31.19,42,100,1.41,CD,1680338914
213,doka,13.5167,35.7667,32.92,15,51,3.72,SD,1680338914
214,yar-sale,66.8333,70.8333,-0.32,98,100,8.39,RU,1680338915
215,chara,56.9064,118.2631,-8.07,69,100,3.35,RU,1680338915
216,talcahuano,-36.7167,-73.1167,9.82,81,0,3.09,CL,1680338916
217,xiongzhou,25.1167,114.3,20.19,92,100,0.58,CN,1680338916
